SR #,Source,Referrer,Prospect,Relationship,Associate,Referral Date,Added to Advisor Portal,Connected to Referred Contact,Contact Prospect,Discovery Package Sent,Discovery Package Received,First Meeting Date,Final Status,New Client Date,Thank You to New Client,Thank You to Existing Client,Appreciation Event for Existing Client,Appreciation Event for New Client,Sales Credits,3 Month Service Call,# of Referrals Received,Action
126,C,Client069,Prospect136,F,Associate028,2018-02-28,2018-02-28,2018-02-28,2018-05-10,2018-05-10,N/A,N/A,5,,,,,,,,,PLMF closed
127,C,Client071,Prospect137,,Associate028,2018-05-09,2018-05-09,2018-05-10,2018-05-09,2018-05-10,N/A,2018-05-18,5,,,,,,,,,PLMF closed
128,E,Event023,CenterOfInfluence020,,Associate028,2018-03-29,2018-03-29,2018-03-29,N/A,2018-03-29,N/A,N/A,5,,,,,,,,,PLMF closed
129,COI,CenterOfInfluence018,Prospect138,,Associate028,2018-08-01,2018-08-01,2018-08-01,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
130,C,Client072,Prospect139,,Associate028,2018-02-28,2018-02-28,2018-02-28,2018-03-16,2018-03-19,2018-03-20,2018-03-20,4,,,,,,,,,PLMF closed
131,C,Client065,Prospect140,C,Associate028,2017-12-07,2017-12-11,2017-12-11,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
132,COI,CenterOfInfluence005,Prospect141,S,Associate028,2018-05-08,2018-05-08,2018-05-08,N/A,N/A,N/A,N/A,5,,,,,,,,,pLMF closed
133,C,Client073,Prospect142,,Associate028,2017-02-07,2017-02-07,2017-02-07,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
134,COI,Client074,CenterOfInfluence006,S,Associate028,2018-03-01,2018-03-01,2018-03-01,N/A,N/A,2018-09-21,N/A,5,,,,,,,,,PLMF closed
135,E,Event024,Prospect143,R,Associate028,2018-02-28,2018-02-28,2018-02-28,2018-05-10,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
136,E,Event024,Prospect144,R,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
137,COI,CenterOfInfluence028,Prospect145,F,Associate028,2018-09-18,2018-09-18,2018-09-18,2018-09-18,2018-10-02,2018-10-05,N/A,5,,,,,,,,,PLMF closed
138,C,Client075,Prospect146,F,Associate028,2018-06-19,2018-06-20,2018-06-20,2018-07-23,2018-07-27,2018-07-27,N/A,5,,,,,,,IN_PROGRESS,,PLMF closed
139,C,Prospect146,Prospect147,F,Associate029,2018-09-28,2018-09-28,2018-09-28,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
140,C,Prospect146,Prospect148,F,Associate029,2018-08-03,2018-08-03,2018-08-03,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
141,O,Client076,Prospect149,R,Associate028,2018-04-20,2018-04-20,2018-04-20,2018-04-23,2018-08-28,2018-05-08,N/A,5,,,,,,,,,PLMF closed
142,C,Client077,Prospect150,F,Associate028,2018-09-11,2018-09-11,2018-09-11,2018-09-12,N/A,,N/A,5,,,,,,,,,PLMF closed
143,COI,CenterOfInfluence018,Prospect151,S,Associate028,2018-07-31,2018-07-31,2018-07-31,2018-07-31,2018-09-13,2018-08-23,N/A,5,2018-09-26,,,,,,,,PLMF closed
144,C,Client033,Prospect152,R,Associate028,2018-09-26,2018-09-26,2018-09-26,2018-09-26,N/A,2018-09-26,N/A,5,,,,,,,,,PLMF closed
145,C,Client026,Prospect153,F,Associate028,2018-09-07,2018-09-07,2018-09-07,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
146,C,Client026,Prospect154,C,Associate028,2018-07-09,2018-07-10,2018-07-10,2018-07-10,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
147,C,Client078,Prospect155,F,Associate028,2018-09-20,2018-09-20,2018-09-20,N/A,N/A,N/A,N/A,5,,,,,,,,,PLMF closed
148,COI,Client079,Prospect156,S,Associate028,2018-10-30,2018-10-30,2018-10-30,N/A,N/A,N/A,N/A,5,,,,,,,,,Associate013 to update the task
149,C,Client080,Prospect157,F,Associate028,2018-08-14,2018-08-14,2018-08-14,2018-09-25,N/A,N/A,N/A,5,,,,,,,,,Associate007 to call in November and follow up
150,E,Event021,Prospect158,R,Associate028,2018-02-28,2018-02-28,2018-02-28,N/A,N/A,N/A,N/A,5,,,,,,,,,Associate010 to call when next Event030's even appear
151,C,Client057,Prospect159,F,Associate028,2018-10-25,2018-10-25,2018-10-25,N/A,N/A,N/A,N/A,5,,,,,,,,,Associate007 to ask during the meeting
152,C,Client081,Prospect160,F,Associate028,2018-08-30,2018-08-30,2018-08-30,2018-09-18,2018-09-24,N/A,N/A,5,,,,,,,,,NFAR
153,O,Prospect146,Prospect161,F,Associate028,2018-11-06,2018-11-06,2018-11-06,2018-11-12,2018-11-12,2018-11-08,N/A,4,,,,,,,,,NFAR
154,C,Client082,Prospect162,F,Associate028,2018-09-04,2018-09-04,2018-09-04,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
